Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,53,138,1985,6,19,       1190263,57,49,75,F,0,0,0,0,0506,0939,0,1
840,53,138,1986,6,19,       1190263,45,59,80,F,0,0,2,1,0506,0926,0,1
840,53,138,1987,6,19,       1190263,59,57,72,F,1,1,0,1,0506,0936,0,1
840,53,138,1988,6,19,       1190263,58,58,74,F,0,0,0,0,0506,0927,0,1
840,53,138,1989,6,19,       1190263,58,52,76,F,0,0,0,0,0506,0923,0,1
840,53,138,1990,6,17,       1190263,60,50,76,F,0,0,0,0,0506,0925,0,1
840,53,138,1991,6,19,       1190263,57,58,68,F,0,0,2,2,0506,0935,0,1
840,53,138,1992,6,19,       1190263,64,53,79,F,0,0,0,0,0506,0919,0,1
840,53,138,1993,6,19,       1190263,63,50,72,F,0,0,0,0,0506,0939,0,1
840,53,138,1994,6,19,       1190263,57,50,79,F,0,0,0,0,0506,0927,0,1
840,53,138,1995,6,24,       1190263,57,50,77,F,0,0,0,0,0506,0924,0,1
840,53,138,1996,6,26,       1190263,56,62,76,F,0,0,0,0,0506,0925,0,1
840,53,138,1997,6,28,       1190263,58,54,72,F,0,0,0,0,0506,0929,1,1
840,53,138,1998,6,24,       1190263,65,55,70,F,0,0,0,0,0506,0942,1,1
840,53,138,1999,6,24,       1190263,55,58,80,F,0,0,2,1,0506,0925,1,1
840,53,138,2000,6,25,       1190263,62,64,68,F,0,0,2,2,0506,0945,1,1
840,53,138,2001,6,24,       1190263,62,57,78,F,0,1,0,0,0506,0925,1,1
840,53,138,2002,6,23,       1190263,61,62,72,F,0,0,2,1,0506,0934,1,1
840,53,138,2003,6,15,       1190263,56,52,78,F,0,0,0,0,0506,0927,1,1
840,53,138,2004,6,20,       1190263,56,46,63,F,0,0,0,1,0506,0923,1,1
840,53,138,2005,6,19,       1190263,57,40,66,F,0,0,0,0,0506,0930,1,1
840,53,138,2006,6,23,       1190263,67,45,69,F,0,0,0,0,0506,0927,1,1
840,53,138,2007,6,24,       1190263,55,48,77,F,0,0,2,0,0506,0929,1,1
840,53,138,2008,6,20,       1190263,57,46,64,F,0,0,1,0,0506,0926,1,1
840,53,138,2009,6,23,       1190263,64,35,55,F,0,0,0,0,0506,0939,1,1
840,53,138,2010,6,24,       1190263,62,54,70,F,0,0,1,2,0506,0939,1,1
840,53,138,2011,6,29,       1190263,56,49,78,F,0,0,0,0,0506,0914,1,1
840,53,138,2012,6,25,       1190263,57,52,71,F,0,0,0,0,0506,0915,1,1
840,53,138,2013,7,2,       1020398,53,58,90,F,1,2,0,1,0512,1336,0,0
840,53,138,2014,7,3,       1020398,51,58,78,F,0,2,0,1,0518,1216,0,0
840,53,138,2015,7,3,       1020398,56,58,86,F,0,2,0,0,0505,1146,0,0
840,53,138,2016,7,13,       1020398,51,52,67,F,2,3,2,2,0506,1036,0,1
840,53,138,2018,7,3,       1020398,49,41,63,F,0,4,1,1,0509,1028,0,1
840,53,176,1999,7,2,       1080319,31,37,57,F,0,2,2,2,0510,1015,0,1
840,53,176,2000,6,22,       1080319,38,50,65,F,0,1,1,1,0510,1000,0,1
840,53,176,2001,6,28,       1080319,31,50,62,F,1,0,0,1,0510,1013,0,1
840,53,176,2002,6,20,       1080319,35,36,52,F,0,1,0,0,0510,1015,0,1
840,53,176,2003,6,27,       1080319,35,42,60,F,0,2,0,0,0510,1008,0,1
840,53,176,2004,6,23,       1080319,38,48,62,F,1,1,0,0,0510,1025,0,1
840,53,176,2005,7,1,       1080319,40,45,60,F,0,1,1,0,0510,1005,0,1
840,53,176,2006,6,24,       1080319,37,46,60,F,0,1,0,0,0510,1024,0,1
840,53,176,2007,6,19,       1080319,37,40,63,F,0,1,0,0,0510,1013,0,1
840,53,176,2008,7,1,       1080319,41,55,60,F,0,0,2,1,0523,1025,0,1
840,53,176,2010,7,1,       1080319,37,40,62,F,0,0,0,1,0510,1015,0,1
840,53,176,2011,7,10,       1080319,35,45,70,F,0,2,0,0,0520,1117,0,1
840,53,176,2012,6,28,       1080319,34,38,60,F,0,1,0,0,0514,1037,0,1
840,53,176,2013,6,18,       1080319,36,55,68,F,2,1,0,1,0510,1025,0,1
840,53,176,2014,6,27,       1080319,37,45,55,F,0,1,2,2,0510,1025,0,1
840,53,176,2015,6,26,       1080319,37,55,75,F,0,1,0,0,0515,1028,0,1
840,53,176,2016,7,1,       1080319,33,46,65,F,0,1,0,0,0510,1015,0,1
840,53,176,2017,6,26,       1080319,33,50,70,F,1,1,0,1,0510,1025,0,1
840,53,176,2019,6,17,       1080319,39,46,63,F,0,1,1,1,0510,1028,0,1
