Country,State,Route,Year
840,53,800,1997
840,53,800,1998
840,53,800,1999
840,53,800,2000
840,53,800,2001
840,53,800,2002
840,53,800,2003
840,53,800,2004
840,53,800,2005
840,53,800,2006
840,53,800,2007
840,53,800,2008
840,53,800,2009
840,53,800,2010
840,53,800,2011
840,53,800,2012
840,53,800,2013
840,53,800,2014
840,53,800,2015
840,53,800,2016
840,53,800,2017
840,53,800,2018
840,53,800,2019
840,53,900,1980
840,53,900,1988
840,53,900,1989
840,53,900,1990
840,53,900,1991
840,53,900,1992
840,53,900,1993
840,53,900,1994
840,53,900,1995
840,53,900,1996
840,53,900,1997
840,53,900,1998
840,53,900,2000
840,53,900,2001
840,53,900,2002
840,53,900,2003
840,53,900,2004
840,53,900,2005
840,53,900,2010
840,53,900,2012
840,53,900,2013
840,53,900,2014
840,53,900,2015
840,53,900,2016
840,53,900,2017
840,53,900,2018
840,53,900,2019
840,53,901,1993
840,53,901,1994
840,53,901,1995
840,53,901,1996
840,53,901,1997
840,53,901,1998
840,53,901,1999
840,53,901,2000
840,53,901,2001
840,53,901,2004
840,53,901,2005
840,53,901,2006
840,53,901,2007
840,53,901,2008
840,53,901,2009
840,53,901,2010
840,53,901,2011
840,53,901,2012
840,53,901,2013
840,53,901,2014
840,53,901,2015
840,53,901,2016
840,53,901,2017
840,53,901,2018
840,53,901,2019
840,53,902,1993
840,53,902,1994
840,53,902,1995
840,53,902,1996
840,53,902,1997
840,53,902,1998
840,53,902,1999
840,53,902,2004
840,53,902,2005
840,53,902,2006
840,53,902,2007
840,53,902,2008
840,53,902,2009
840,53,902,2010
840,53,902,2011
840,53,902,2012
840,53,902,2013
840,53,902,2014
840,53,902,2015
840,53,902,2017
840,53,902,2018
840,53,902,2019
840,53,903,1994
840,53,903,1995
840,53,903,1996
840,53,903,1997
840,53,903,1998
840,53,903,2000
840,53,903,2003
840,53,903,2004
840,53,903,2005
840,53,903,2006
840,53,903,2008
840,53,903,2009
840,53,903,2010
840,53,903,2011
840,53,903,2012
840,53,903,2013
840,53,903,2014
840,53,903,2015
840,53,903,2016
840,53,903,2017
840,53,903,2018
840,53,903,2019
840,53,905,1995
840,53,905,1996
840,53,905,1998
840,53,905,1999
840,53,905,2000
840,53,905,2002
840,53,905,2003
840,53,905,2004
840,53,906,1994
840,53,906,1995
840,53,906,1996
840,53,906,1997
840,53,906,2000
840,53,906,2003
840,53,906,2004
840,53,906,2005
840,53,906,2006
840,53,906,2008
840,53,906,2009
840,53,906,2010
840,53,906,2012
840,53,906,2013
840,53,906,2014
840,53,906,2015
840,53,906,2016
840,53,906,2017
840,53,906,2018
840,53,907,1995
840,53,907,2000
840,53,907,2001
840,53,907,2002
840,53,907,2003
840,53,907,2004
840,53,907,2005
840,53,907,2006
840,53,907,2007
840,53,907,2009
840,53,907,2010
840,53,907,2011
840,53,907,2012
840,53,907,2013
840,53,907,2014
840,53,907,2015
840,53,907,2016
840,53,907,2017
840,53,907,2018
840,53,907,2019
840,53,955,2005
840,53,955,2006
840,53,955,2008
840,53,955,2009
840,53,955,2010
840,53,955,2011
840,53,956,2012
840,53,956,2013
840,53,956,2014
840,53,956,2015
840,53,956,2016
840,53,956,2017
840,53,956,2018
840,53,956,2019
